PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0007000000 uM,Activity at 0.00160 uM,Activity at 0.00370 uM,Activity at 0.00820 uM,Activity at 0.018 uM,Activity at 0.041 uM,Activity at 0.092 uM,Activity at 0.205 uM,Activity at 0.457 uM,Activity at 1.022 uM,Activity at 2.286 uM,Activity at 5.112 uM,Activity at 11.43 uM,Activity at 25.56 uM,Activity at 57.14 uM,Compound QC
9135,17385277,3247244,Inactive,0,,,Inactive,,,,,,,,,,4,,-44.98,,,3.712,,-1.406,,0.7734,,17.34,,30.02,,18.16,,-44.98,QC'd by UPCMLD
9136,17385278,3247252,Active,41,,,Inhibitor,15.8489,112.658,,Partial curve; high efficacy,-4.8,1.8265,0.8968,-93.4196,19.2386,-2.1,0 0 0 0 0 0 0,-85.09,,,22.41,,22.21,,39.03,,-5.89,,13.89,,-16.63,,-85.09,QC'd by UPCMLD
9137,17385279,3247259,Inconclusive,20,,,Inhibitor,39.8107,72.9275,,Single point of activity,-4.4,4.9549,0.8141,-62.052,10.8755,-3,0 0 1 0 0 0 0,-51.71,,,19.37,,-5.003,,44.15,,-1.962,,25.8,,16.7,,-51.71,QC'd by UPCMLD
9138,17385280,3247223,Active,46,,,Inhibitor,2.5119,105.097,,Partial curve; high efficacy,-5.6,0.6,0.8084,-101.475,3.6219,-2.1,0 0 0 0 0 0 0,-94.12,,,-21.53,,26.61,,-6.529,,-30.44,,-57.4,,-55.5,,-94.12,QC'd by UPCMLD
9139,17385281,3247245,Active,44,,,Inhibitor,5.0119,145.729,,Partial curve; high efficacy,-5.3,0.6,0.9435,-107.016,38.7129,-2.1,0 1 0 0 0 0 0,-89.18,,,27.82,,-16.88,,42.05,,2.718,,-20.81,,-39.11,,-89.18,QC'd by UPCMLD
9140,17385282,3247260,Inconclusive,20,,,Inhibitor,25.1189,88.9405,,Single point of activity,-4.6,2.7868,0.8403,-84.393,4.5475,-3,0 0 0 0 0 0 0,-76.24,,,10.59,,-19.02,,11.82,,-2.767,,22.81,,-5.638,,-76.24,QC'd by UPCMLD
9141,17385283,3247107,Active,87,,,Inhibitor,1.5849,115.46,,Complete curve; high efficacy,-5.8,0.8,0.9237,-106.311,9.1493,-1.1,0 0 0 0 0 0 0,-101.3,,,-1.359,,5.957,,20.69,,-41.33,,-50.84,,-85.22,,-101.3,QC'd by UPCMLD
9142,17385284,3247207,Inconclusive,20,,,Inhibitor,39.8107,76.8901,,Single point of activity,-4.4,4.9549,0.8495,-88.963,-12.0729,-3,1 0 0 1 0 0 0,-78.06,,,-33.41,,-4.061,,-12.14,,19.94,,-33.46,,-3.879,,-78.06,QC'd by UPCMLD
9143,17385285,3247231,Inconclusive,20,,,Inhibitor,2.5119,52.466,,Partial curve; partial efficacy; poor fit,-5.6,1.9673,0.5778,-51.356,1.11,-2.4,0 0 0 0 0 1 0,-51.13,,,-23.14,,32.77,,-8.813,,2.938,,-23.72,,42.44,,-51.13,QC'd by UPCMLD
9144,17385286,3247246,Inconclusive,20,,,Inhibitor,31.6228,98.044,,Single point of activity,-4.5,2.4064,0.8225,-107.129,-9.0847,-3,0 0 0 1 0 0 0,-88.37,,,-23.17,,-22.02,,2.477,,34.53,,-27.92,,-14.95,,-88.37,QC'd by UPCMLD
9145,17385287,3247261,Inconclusive,20,,,Inhibitor,,,,Single point of activity,,,,,,-3,,-47.19,,,-19.94,,-26.79,,4.626,,-19.85,,0.5655,,10.63,,-47.19,QC'd by UPCMLD
9146,17385288,3247229,Active,41,,,Inhibitor,19.9526,89.6049,,Partial curve; high efficacy,-4.7,1.331,0.9328,-103.692,-14.0871,-2.1,0 0 1 0 0 0 0,-86.41,,,-4.951,,-25.45,,21.51,,-22.55,,-19.37,,-43.32,,-86.41,QC'd by UPCMLD
9147,17385289,3247208,Inconclusive,20,,,Inhibitor,15.8489,56.8507,,Single point of activity,-4.8,0.7,0.4602,-62.0016,-5.1508,-3,0 0 0 0 0 1 0,-47.72,,,-19.42,,-26.92,,-0.3444,,-11.43,,-14.69,,58.79,,-47.72,QC'd by UPCMLD
9148,17385290,3247238,Inactive,0,,,Inactive,,,,,,,,,,4,,-90.13,,,-27.74,,-22.73,,14.22,,-3.375,,-11.73,,14.81,,-90.13,QC'd by UPCMLD
9149,17385291,3247247,Inconclusive,20,,,Inhibitor,39.8107,72.9339,,Single point of activity,-4.4,4.9549,0.8956,-80.0233,-7.0894,-3,0 0 0 0 0 0 0,-69.64,,,-15.53,,-17.71,,-0.4337,,0.3617,,-12.57,,1.254,,-69.64,QC'd by UPCMLD
9150,17385292,3247254,Active,41,,,Inhibitor,19.9526,114.885,,Partial curve; high efficacy,-4.7,0.9,0.8215,-119.527,-4.6418,-2.1,0 0 0 0 0 0 0,-91.01,,,7.761,,12.14,,-18.49,,-34.02,,-9.373,,-48.03,,-91.01,QC'd by UPCMLD
9151,17385293,3247262,Inconclusive,20,,,Inhibitor,39.8107,67.3475,,Single point of activity,-4.4,4.4495,0.7822,-72.428,-5.0805,-3,0 0 0 0 0 0 0,-61.19,,,-7.613,,-23.81,,4.71,,-12.88,,9.615,,-1.046,,-61.19,QC'd by UPCMLD
9152,17385294,3247214,Inactive,0,,,Inactive,,,,,,,,,,4,,-43.69,,,-71.13,,6.305,,-7.153,,-3.149,,19.55,,32.06,,-43.69,QC'd by UPCMLD
9153,17385295,3247240,Active,41,,,Inhibitor,15.8489,97.27,,Partial curve; high efficacy,-4.8,2.2526,0.9599,-88.608,8.662,-2.1,1 0 0 0 0 0 0,-81.61,,,-24.61,,8.587,,15.15,,-4.706,,14.62,,-22.23,,-81.61,QC'd by UPCMLD
9154,17385296,3247248,Inactive,0,,,Inactive,,,,,,,,,,4,,-38.45,,,-14.49,,-1.595,,29.03,,12.22,,3.335,,46.21,,-38.45,QC'd by UPCMLD
9155,17385297,3247255,Inconclusive,20,,,Inhibitor,25.1189,81.8975,,Single point of activity,-4.6,2.7868,0.9549,-76.991,4.9065,-3,0 1 0 0 0 0 0,-69.42,,,-6.507,,51.91,,12.45,,4.311,,9.657,,-3.079,,-69.42,QC'd by UPCMLD
9156,17385298,3247263,Active,63,,,Inhibitor,3.1623,134.817,,Complete curve; partial efficacy,-5.5,1.6924,0.993,-69.4712,65.3458,-1.2,1 1 0 0 0 0 0,-69.93,,,-99.25,,-76.22,,58.01,,67.64,,14.76,,-53.29,,-69.93,QC'd by UPCMLD
9157,17385299,5459495,Inactive,0,,,Inactive,,,,,,,,,,4,,-14.68,,,0.0496,,-2.293,,-23.81,,40.76,,24.83,,63.73,,-14.68,QC'd by UPCMLD
9158,17385300,5459501,Inconclusive,20,,,Inhibitor,39.8107,85.465,,Single point of activity,-4.4,4.9549,0.8186,-83.44,2.025,-3,0 0 0 0 0 0 0,-71.2,,,-14.42,,-2.938,,-6.88,,-1.332,,14.78,,23.55,,-71.2,QC'd by UPCMLD
9159,17385301,5459457,Active,44,,,Inhibitor,6.3096,99.9394,,Partial curve; high efficacy,-5.2,0.7,0.9415,-107.032,-7.0923,-2.1,0 0 0 0 0 0 0,-93.02,,,-17.86,,-3.396,,-1.173,,-28.02,,-43.24,,-59.76,,-93.02,QC'd by UPCMLD
9160,17385302,5459446,Inconclusive,20,,,Inhibitor,39.8107,70.913,,Single point of activity,-4.4,4.9549,0.6884,-65.024,5.889,-3,0 0 0 0 0 0 0,-55.02,,,-3.528,,-14.96,,9.285,,-6.636,,27.2,,22.45,,-55.02,QC'd by UPCMLD
9161,17385303,5459454,Inconclusive,20,,,Inhibitor,39.8107,74.879,,Single point of activity,-4.4,4.9549,0.7427,-62.9375,11.9415,-3,0 0 0 0 0 0 0,-52.08,,,-0.9626,,5.04,,-4.113,,11.74,,22.74,,36.75,,-52.08,QC'd by UPCMLD
9162,17385304,5461606,Inconclusive,20,,,Inhibitor,39.8107,84.8035,,Single point of activity,-4.4,4.9549,0.8397,-82.12,2.6835,-3,0 0 0 0 0 0 0,-70.1,,,-1.093,,-12.01,,14.37,,-12.45,,16.23,,12.03,,-70.1,QC'd by UPCMLD
9163,17385305,5461636,Inactive,0,,,Inactive,,,,,,,,,,4,,-35.95,,,-2.088,,-25.56,,6.754,,-10.95,,26.56,,39.76,,-35.95,QC'd by UPCMLD
9164,17385306,5459496,Inconclusive,20,,,Inhibitor,39.8107,78.1535,,Single point of activity,-4.4,4.9549,0.8489,-74.772,3.3815,-3,0 0 0 0 0 0 0,-63.56,,,11.55,,-1.466,,-9.636,,18.81,,-8.871,,8.885,,-63.56,QC'd by UPCMLD
9165,17385307,5459504,Active,42,,,Inhibitor,15.8489,114.104,,Partial curve; high efficacy,-4.8,0.6,0.8948,-116.791,-2.6867,-2.1,0 0 0 0 0 0 0,-89.67,,,-3.398,,2.197,,-6.736,,-29.56,,-30.44,,-37.66,,-89.67,QC'd by UPCMLD
9166,17385308,5459458,Inconclusive,20,,,Inhibitor,7.9433,79.999,,Single point of activity,-5.1,1.8851,0.9899,-68.996,11.003,-3,0 0 0 0 0 1 0,-67.08,,,12.77,,12.98,,4.921,,12.98,,3.102,,52.53,,-67.08,QC'd by UPCMLD
9167,17385309,5459447,Inconclusive,20,,,Inhibitor,39.8107,88.3735,,Single point of activity,-4.4,3.99,0.8536,-78.8735,9.5,-3,0 0 0 0 0 1 0,-62.1,,,0.3355,,-4.428,,4.33,,24.97,,23.4,,63.67,,-62.1,QC'd by UPCMLD
9168,17385310,5459512,Inconclusive,21,,,Inhibitor,12.5893,53.5662,,Partial curve; partial efficacy,-4.9,3.132,0.8954,-59.6491,-6.0829,-2.2,0 0 0 0 0 0 0,-58.11,,,-11.78,,-10.01,,-15.34,,-11.1,,2.719,,-30.79,,-58.11,QC'd by UPCMLD
9169,17385311,5459499,Active,41,,,Inhibitor,19.9526,66.292,,Partial curve; partial efficacy,-4.7,1.7137,0.9684,-85.607,-19.315,-2.2,0 0 0 0 0 0 0,-76.18,,,-20.9,,-14.27,,-26.56,,-17.17,,-19.35,,-36.95,,-76.18,QC'd by UPCMLD
9170,17385312,5459497,Active,44,,,Inhibitor,6.3096,102.168,,Partial curve; high efficacy,-5.2,1,0.846,-101.01,1.1577,-2.1,0 0 0 0 0 0 0,-93.34,,,-8.221,,4.119,,-8.637,,22.43,,-46.36,,-54.53,,-93.34,QC'd by UPCMLD
9171,17385313,5459459,Inconclusive,20,,,Inhibitor,0.0063,42.8643,,Complete curve; partial efficacy; poor fit,-8.2,4.9549,0.392,-37.4021,5.4622,-1.4,0 0 1 0 0 0 0,-72.8,,,2.578,,-44.02,,1.442,,-35.67,,-15.78,,-19.74,,-72.8,QC'd by UPCMLD
9172,17385314,5459448,Inactive,0,,,Inactive,,,,,,,,,,4,,-19.16,,,0.5154,,-9.263,,-5.324,,-15.4,,22.86,,20.96,,-19.16,QC'd by UPCMLD
9173,17385315,5461618,Inconclusive,20,,,Inhibitor,39.8107,77.732,,Single point of activity,-4.4,4.9549,0.7732,-64.092,13.64,-3,0 0 0 1 0 0 0,-53.41,,,-2.328,,-5.355,,17.43,,-17.28,,28.02,,29.39,,-53.41,QC'd by UPCMLD
9174,17385316,5459509,Inactive,0,,,Inactive,,,,,,,,,,4,,-44.08,,,-7.199,,18.38,,-2.996,,4.892,,14.21,,23.31,,-44.08,QC'd by UPCMLD
9175,17385317,5459508,Inactive,0,,,Inactive,,,,,,,,,,4,,-35.54,,,-23.5,,50.3,,-4.152,,41.33,,-5.78,,61.98,,-35.54,QC'd by UPCMLD
9176,17385318,5459460,Inconclusive,20,,,Inhibitor,3.1623,62.334,,Single point of activity,-5.5,4.9549,0.9916,-46.027,16.307,-3,0 0 0 0 0 1 0,-46.08,,,19.3,,14.31,,13.2,,18.03,,6.84,,29.54,,-46.08,QC'd by UPCMLD
9177,17385319,5459449,Inactive,0,,,Inactive,,,,,,,,,,4,,-20.43,,,19.51,,16.2,,31.29,,-0.3632,,22.75,,49.85,,-20.43,QC'd by UPCMLD
9178,17385320,5459513,Inactive,0,,,Inactive,,,,,,,,,,4,,-6.696,,,7.857,,11.75,,28.6,,-7.381,,-0.055,,-12.47,,-6.696,QC'd by UPCMLD
9179,17385321,5461554,Inconclusive,20,,,Inhibitor,39.8107,106.136,,Single point of activity,-4.4,4.9549,0.8601,-83.6021,22.534,-3,0 0 0 0 0 0 0,-68.26,,,27.83,,11.77,,23.74,,0.2876,,44.41,,28.22,,-68.26,QC'd by UPCMLD
9180,17385322,5461698,Inactive,0,,,Inactive,,,,,,,,,,4,,0.0731,,,26.04,,35.04,,26.91,,-22.75,,-31.78,,0.7291,,0.0731,QC'd by UPCMLD
9181,17385323,5459503,Inactive,0,,,Inactive,,,,,,,,,,4,,-39.53,,,-21.38,,30.41,,-30.27,,-0.9547,,1.441,,21.98,,-39.53,QC'd by UPCMLD
9182,17385324,5459502,Inconclusive,20,,,Inhibitor,25.1189,60.327,,Single point of activity,-4.6,3.0654,0.6828,-69.1313,-8.8043,-3,0 0 0 0 0 1 0,-64.47,,,-31.65,,-21.68,,-17.52,,-2.143,,-3.844,,23.13,,-64.47,QC'd by UPCMLD
9183,17385325,5459461,Active,41,,,Inhibitor,15.8489,77.6555,,Partial curve; high efficacy,-4.8,2.4064,0.9337,-86.1629,-8.5074,-2.1,0 0 0 0 0 0 0,-83.27,,,-15.99,,-18.05,,-12.45,,-2.155,,1.804,,-31.34,,-83.27,QC'd by UPCMLD
9184,17385326,5459450,Inconclusive,20,,,Inhibitor,15.8489,62.6235,,Single point of activity,-4.8,2.3332,0.9224,-57.123,5.5005,-3,0 1 0 0 0 0 0,-53.02,,,6.38,,-25.64,,-1.317,,-0.4168,,16.97,,-13.41,,-53.02,QC'd by UPCMLD
9185,17385327,5459510,Active,41,,,Inhibitor,12.5893,77.632,,Partial curve; partial efficacy,-4.9,1.5936,0.9586,-73.668,3.964,-2.2,0 0 0 0 0 0 0,-66.42,,,14.3,,2.101,,3.534,,-5.2,,1.891,,-33.72,,-66.42,QC'd by UPCMLD
9186,17385328,5459506,Active,43,,,Inhibitor,7.9433,119.535,,Partial curve; high efficacy,-5.1,0.7,0.8717,-103.114,16.4205,-2.1,0 0 0 0 0 0 0,-84.56,,,-0.3525,,20.38,,24.91,,9.009,,-38.88,,-34.95,,-84.56,QC'd by UPCMLD
9187,17385329,5459505,Active,40,,,Inhibitor,39.8107,77.8145,,Partial curve; partial efficacy,-4.4,3.132,0.9238,-96.1215,-18.307,-2.2,1 1 0 0 0 0 0,-77.3,,,-28.79,,7.381,,-30.21,,-10.07,,-18.94,,-15.94,,-77.3,QC'd by UPCMLD
9188,17385330,5459462,Inconclusive,20,,,Inhibitor,39.8107,80.0224,,Single point of activity,-4.4,4.9549,0.8582,-87.5955,-7.5731,-3,1 0 0 0 0 0 0,-76.36,,,-27.49,,-15.34,,-5.184,,-25.7,,2.643,,4.371,,-76.36,QC'd by UPCMLD
9189,17385331,5459451,Inconclusive,20,,,Inhibitor,39.8107,69.2805,,Single point of activity,-4.4,4.4495,0.8744,-75.9,-6.6195,-3,1 0 0 0 0 0 0,-64.5,,,-26.1,,-14.72,,-13.19,,-13.51,,6.695,,1.224,,-64.5,QC'd by UPCMLD
9190,17385332,5459514,Active,86,,,Inhibitor,1.5849,91.6975,,Complete curve; high efficacy,-5.8,1.1,0.927,-96.8263,-5.1288,-1.1,0 0 0 0 0 0 0,-95.22,,,2.473,,-24.61,,7.355,,-30.66,,-59.93,,-86.47,,-95.22,QC'd by UPCMLD
9191,17385333,5459500,Active,42,,,Inhibitor,15.8489,120.565,,Partial curve; high efficacy,-4.8,0.5,0.8023,-116.654,3.9109,-2.1,0 0 0 0 0 0 0,-87.9,,,-0.2558,,23.84,,-26.56,,-19.19,,-25.94,,-38.99,,-87.9,QC'd by UPCMLD
9192,17385334,5459498,Inconclusive,20,,,Inhibitor,6.3096,96.9109,,Partial curve; high efficacy; poor fit,-5.2,1.1,0.7264,-107.042,-10.1315,-2.3,1 0 0 0 0 0 0,-100.6,,,-40.7,,-50.87,,-7.729,,0.7154,,-41.95,,-70.58,,-100.6,QC'd by UPCMLD
9193,17385335,11948723,Inconclusive,20,,,Inhibitor,39.8107,56.345,,Single point of activity,-4.4,4.9549,0.5703,-55.884,0.461,-3,1 0 0 0 1 0 0,-47.82,,,-42.34,,4.517,,-23.78,,-6.712,,60.67,,27.57,,-47.82,QC'd by UPCMLD
9194,17385336,5459452,Inactive,0,,,Inactive,,,,,,,,,,4,,8.334,,,-21.11,,-10.32,,-11.1,,-18.09,,-4.121,,7.383,,8.334,QC'd by UPCMLD
9195,17385337,5459516,Inconclusive,20,,,Inhibitor,25.1189,108.836,,Single point of activity,-4.6,1.5936,0.6916,-100.945,7.8917,-3,0 1 0 0 0 0 0,-78.05,,,-26.62,,-39.93,,14.58,,43.36,,-3.596,,-14.2,,-78.05,QC'd by UPCMLD
9196,17385338,5459507,Inconclusive,20,,,Inhibitor,39.8107,80.6535,,Single point of activity,-4.4,4.9549,0.7952,-68.952,11.7015,-3,1 0 0 0 0 0 0,-57.46,,,-64.99,,26.57,,1.414,,-10.79,,24.83,,15.11,,-57.46,QC'd by UPCMLD
9197,17385339,5459456,Inconclusive,20,,,Inhibitor,25.1189,73.4025,,Single point of activity,-4.6,3.0654,0.8462,-70.213,3.1895,-3,0 0 0 0 0 0 0,-64.66,,,-8.113,,12.42,,-8.741,,-0.0228,,21.55,,-3.409,,-64.66,QC'd by UPCMLD
9198,17385340,5459445,Inactive,0,,,Activator,0.1585,45.7755,,Complete curve; partial efficacy; poor fit,-6.8,4.5045,0.3665,19.0625,-26.713,1.4,0 1 0 0 0 0 0,-35.49,,,-26.96,,30.98,,-22.45,,19.95,,43.17,,48.26,,-35.49,QC'd by UPCMLD
9199,17385341,5459453,Inactive,0,,,Inactive,,,,,,,,,,4,,-41.04,,,-30.3,,-13.53,,-1.233,,-18.59,,25.12,,5.946,,-41.04,QC'd by UPCMLD
9200,17385342,5459515,Inactive,0,,,Inactive,,,,,,,,,,4,,-37.3,,,5.14,,-15.9,,24.4,,9.189,,-7.899,,-12.69,,-37.3,QC'd by UPCMLD
9201,26750724,6518385,Inactive,0,,,Inactive,,,,,,,,,,4,,-28.24,1.224,,9.073,,31.71,,39.03,,2.778,,-7.292,,-28.24,,,QC'd by BUCMLD
9202,26750725,16758240,Inactive,0,,,Inactive,,,,,,,,,,4,,-39.53,-3.193,,12.42,,-4.735,,26.29,,-8.45,,-4.482,,-39.53,,,QC'd by BUCMLD
9203,26750726,16758241,Inactive,0,,,Inactive,,,,,,,,,,4,,-20.59,-8.398,,-12.56,,-1.784,,17.54,,-4.134,,-3.217,,-20.59,,,QC'd by BUCMLD
9204,26750727,16758242,Inactive,0,,,Inactive,,,,,,,,,,4,,-14.08,-12.98,,-35.41,,-16.5,,15.14,,-12.53,,-8.513,,-14.08,,,QC'd by BUCMLD
9205,26750728,6518389,Inconclusive,20,,,Inhibitor,0.0126,58.484,,Complete curve; partial efficacy; poor fit,-7.9,3.9295,0.8294,-24.327,34.157,-1.4,0 0 0 0 0 0 0,-7.431,31.07,,36.37,,-13.62,,-12.9,,-30.36,,-45.82,,-7.431,,,QC'd by BUCMLD
9206,26750729,16758243,Inactive,0,,,Inactive,,,,,,,,,,4,,9.089,-16.32,,14.95,,-6.018,,-5.4,,-7.803,,32.9,,9.089,,,QC'd by BUCMLD
9207,26750730,16758244,Inactive,0,,,Inactive,,,,,,,,,,4,,-4.344,-13.86,,3.18,,-7.41,,-2.784,,-3.884,,0.5488,,-4.344,,,QC'd by BUCMLD
9208,26750731,6518392,Inactive,0,,,Inactive,,,,,,,,,,4,,-10.62,6.674,,30.31,,-7.327,,13.08,,-8.412,,4.346,,-10.62,,,QC'd by BUCMLD
9209,26750732,16758245,Inactive,0,,,Activator,1.2589,44.802,,Complete curve; partial efficacy; poor fit,-5.9,3.132,0.9293,48.8832,4.0812,1.4,0 0 0 1 0 0 0,47.63,-5.349,,12.22,,7.526,,31.3,,4.604,,44.11,,47.63,,,QC'd by BUCMLD
9210,26750733,6518394,Inactive,0,,,Inactive,,,,,,,,,,4,,-12.35,-6.962,,13.04,,-2.851,,-5.764,,-20.25,,-10.85,,-12.35,,,QC'd by BUCMLD
9211,26750734,6518394,Inactive,0,,,Inactive,,,,,,,,,,4,,-23.55,-4.269,,2.885,,0.2996,,6.215,,41.88,,-16.72,,-23.55,,,QC'd by BUCMLD
9212,26750735,6518395,Inconclusive,20,,,Inhibitor,0.631,85.2303,,Partial curve; partial efficacy; poor fit,-6.2,1.6604,0.7634,-58.8492,26.3811,-2.4,1 0 0 0 0 0 0,-65.88,-22,,-8.834,,43.86,,46.38,,-14.02,,-38.81,,-65.88,,,QC'd by BUCMLD
9213,26750736,6518396,Inactive,0,,,Inactive,,,,,,,,,,4,,6.242,12.84,,-23.51,,7.017,,-4.296,,8.638,,-17.99,,6.242,,,QC'd by BUCMLD
9214,26750737,16758246,Inactive,0,,,Inactive,,,,,,,,,,4,,32.25,-12.15,,-18.36,,-7.088,,-10.14,,28.05,,19.7,,32.25,,,QC'd by BUCMLD
9215,26750738,16758247,Inactive,0,,,Inactive,,,,,,,,,,4,,-30.6,-32.97,,-11.57,,-10.79,,8.321,,-4.717,,-17.18,,-30.6,,,QC'd by BUCMLD
9216,26750739,16758248,Inconclusive,20,,,Inhibitor,3.1623,36.4881,,Partial curve; partial efficacy; poor fit,-5.5,2.3332,0.7739,-51.177,-14.6889,-2.4,1 0 0 0 0 0 0,-49.77,-25.62,,-21.07,,-17.31,,-26.03,,-8.829,,-26.17,,-49.77,,,QC'd by BUCMLD
9217,26750740,16758249,Inactive,0,,,Inactive,,,,,,,,,,4,,4.43,-55.39,,-10.15,,-14.17,,-36.81,,-11.04,,8.282,,4.43,,,QC'd by BUCMLD
9218,26750741,16758250,Inactive,0,,,Inactive,,,,,,,,,,4,,-42.27,-16.07,,17.02,,-3.488,,-15.67,,45.02,,21.42,,-42.27,,,QC'd by BUCMLD
9219,26750742,16758251,Inactive,0,,,Inactive,,,,,,,,,,4,,-32.27,-13.17,,-13.33,,-15.16,,-7.43,,40.68,,-18.04,,-32.27,,,QC'd by BUCMLD
9220,26750743,16758252,Inactive,0,,,Inactive,,,,,,,,,,4,,-7.999,-50.56,,-24.7,,22.32,,-29.57,,-8.017,,-52.53,,-7.999,,,QC'd by BUCMLD
9221,26750744,6419589,Inactive,0,,,Inactive,,,,,,,,,,4,,-23.07,-4.739,,-19.72,,-8.435,,65.96,,-16.26,,-27.14,,-23.07,,,QC'd by BUCMLD
9222,26750745,16758253,Inactive,0,,,Inactive,,,,,,,,,,4,,-53.79,-30.17,,-56.74,,12.03,,-11.84,,13.28,,-19.93,,-53.79,,,QC'd by BUCMLD
9223,26750746,16758253,Inactive,0,,,Inactive,,,,,,,,,,4,,-16.14,28.48,,-23.96,,-6.883,,13.91,,-8.729,,-10.14,,-16.14,,,QC'd by BUCMLD
9224,26750747,16758254,Inconclusive,20,,,Inhibitor,1.9953,73.1295,,Single point of activity,-5.7,0.7,0.9054,-68.1295,5,-3,0 0 0 0 0 1 0,-54.06,0.2084,,11.09,,6.594,,-14.37,,-8.646,,37.53,,-54.06,,,QC'd by BUCMLD
9225,26750748,16758255,Inactive,0,,,Inactive,,,,,,,,,,4,,-0.4324,21.82,,-12.45,,-22.69,,-35.19,,16.23,,-32.25,,-0.4324,,,QC'd by BUCMLD
9226,26750749,16758256,Inactive,0,,,Inactive,,,,,,,,,,4,,-1.781,-10.83,,-5.814,,-17.23,,-23.67,,-5.822,,14.71,,-1.781,,,QC'd by BUCMLD
9227,26750750,16758257,Inactive,0,,,Inactive,,,,,,,,,,4,,-28.55,-19.12,,-14.27,,-31.17,,-28.84,,-17.99,,18.65,,-28.55,,,QC'd by BUCMLD
9228,26750751,16758258,Inactive,0,,,Inactive,,,,,,,,,,4,,12.14,-6.005,,-7.674,,-31.3,,-13.27,,-3.943,,-6.558,,12.14,,,QC'd by BUCMLD
9229,26750752,16758258,Inconclusive,24,,,Inhibitor,1.5849,61.9722,,Partial curve; partial efficacy,-5.8,0.9,0.9235,-61.9641,0.0081,-2.2,0 1 0 0 0 0 0,-56.63,-4.899,,-50.56,,1.267,,3.289,,-23.59,,-30.28,,-56.63,,,QC'd by BUCMLD
9230,26750753,16758259,Inactive,0,,,Inactive,,,,,,,,,,4,,14.19,20.94,,-32.18,,12.67,,-4.516,,29.75,,-24.72,,14.19,,,QC'd by BUCMLD
9231,26750754,16758259,Inactive,0,,,Inactive,,,,,,,,,,4,,5.286,32.69,,-5.984,,-6.742,,49.55,,51.96,,11.59,,5.286,,,QC'd by BUCMLD
9232,26750755,16758260,Inactive,0,,,Activator,3.1623,86.2663,,Single point of activity,-5.5,3.2475,0.9139,53.6519,-32.6144,3,0 0 0 0 0 0 0,52.54,-20.31,,-48.69,,-39.59,,-21.92,,-32.46,,-11.09,,52.54,,,QC'd by BUCMLD
9233,26750756,16758260,Inactive,0,,,Inactive,,,,,,,,,,4,,32.03,-12.88,,-11.81,,-28.71,,-14.06,,-16.88,,-9.967,,32.03,,,QC'd by BUCMLD
9234,26750757,16758261,Inactive,0,,,Activator,0.5012,56.264,,Complete curve; partial efficacy; poor fit,-6.3,1.8265,0.8423,48.608,-7.656,1.4,1 0 0 0 0 0 0,50.63,32.05,,-14.77,,12.32,,-18.81,,19.85,,42.5,,50.63,,,QC'd by BUCMLD
9235,26750758,16758262,Inactive,0,,,Inactive,,,,,,,,,,4,,-12.5,0.5888,,32.89,,10.72,,40.22,,19.67,,27.66,,-12.5,,,QC'd by BUCMLD
9236,26750759,16758262,Inactive,0,,,Inactive,,,,,,,,,,4,,-34.12,2.488,,-17.31,,-26.14,,0.555,,5.599,,-2.969,,-34.12,,,QC'd by BUCMLD
9237,26750760,16758263,Inactive,0,,,Inactive,,,,,,,,,,4,,-21.85,-12.46,,8.295,,-8.164,,6.061,,-16.06,,-24.03,,-21.85,,,QC'd by BUCMLD
9238,26750761,16758264,Inconclusive,20,,,Inhibitor,2.5119,79.14,,Partial curve; partial efficacy; poor fit,-5.6,0.5,0.6869,-72.975,6.165,-2.4,0 0 0 0 0 0 0,-54.7,18.65,,-18.5,,13.82,,-17.6,,-14.55,,-22.8,,-54.7,,,QC'd by BUCMLD
9239,26750762,16758265,Inactive,0,,,Inactive,,,,,,,,,,4,,-20.41,-17.47,,-1.321,,-15.25,,-40.22,,26.97,,7.146,,-20.41,,,QC'd by BUCMLD
9240,26750763,16758266,Inactive,0,,,Activator,3.9811,55.0405,,Single point of activity,-5.4,4.5045,0.8248,59.6713,4.6308,3,1 0 0 0 0 0 0,59.05,51.89,,-9.845,,-1.584,,9.575,,20.12,,8.773,,59.05,,,QC'd by BUCMLD
9241,26750764,16758267,Inactive,0,,,Inactive,,,,,,,,,,4,,-16.38,50.58,,-28.76,,20.3,,61.31,,-8.41,,-27.17,,-16.38,,,QC'd by BUCMLD
9242,26750765,16758268,Inactive,0,,,Inactive,,,,,,,,,,4,,-14.59,-1.17,,-6.801,,-15.89,,-5.912,,-23.98,,-25.8,,-14.59,,,QC'd by BUCMLD
9243,26750766,16758269,Inactive,0,,,Inactive,,,,,,,,,,4,,10.11,11.57,,-14.81,,-2.413,,18.5,,0.1515,,12.79,,10.11,,,QC'd by BUCMLD
